0,0,0
10,1e-05,101325
20,2e-05,101325
30,3e-05,101325
40,4e-05,101325
50,5e-05,101325
60,6e-05,101325
70,7e-05,101325
80,8.000001e-05,101325
90,9e-05,101325
100,0.0001,101325
110,0.00011,101325
120,0.00012,101325
130,0.00013,101325
140,0.00014,101325
150,0.00015,101325
160,0.00016,101325
170,0.00017,101325
180,0.00018,101325
190,0.00019,101325
200,0.0002,101325
210,0.00021,101325
220,0.00022,101325
230,0.00023,101325
240,0.00024,101325
250,0.00025,101325
260,0.00026,101325
270,0.00027,101325
280,0.00028,101325
290,0.00029,101325
300,0.0003,101325
310,0.00031,101325
320,0.00032,101325
330,0.00033,101325
340,0.00034,101325
350,0.00035,101325
360,0.00036,101325
370,0.00037,101325
380,0.00038,101325
390,0.00039,101325
400,0.0004,101325
410,0.00041,101325
420,0.00042,101325
430,0.00043,101325
440,0.00044,101325
450,0.00045,101325
460,0.00046,101325
470,0.00047,101325
480,0.00048,101325
490,0.00049,101325
500,0.0005,101325
510,0.00051,101325
520,0.00052,776258.4
530,0.00053,2741606
540,0.00054,2594605
550,0.00055,2361721
560,0.00056,2361469
570,0.00057,2219032
580,0.00058,2092179
590,0.00059,1915609
600,0.0006,1859670
610,0.00061,1705170
620,0.00062,1664286
630,0.00063,1558503
640,0.00064,1503562
650,0.00065,1389309
660,0.00066,1342428
670,0.00067,1262941
680,0.00068,1215715
690,0.00069,1165437
700,0.0007,1108013
710,0.00071,1056029
720,0.00072,1004394
730,0.00073,954491.1
740,0.00074,920384.1
750,0.00075,860931.9
760,0.00076,840700.1
770,0.00077,809990.6
780,0.00078,753863.3
790,0.00079,739427.8
800,0.0008,711280.2
810,0.00081,684932.4
820,0.00082,653795.1
830,0.00083,630405.3
840,0.00084,604917.5
850,0.00085,584050.2
860,0.00086,559390.9
870,0.00087,538781.8
880,0.00088,520619.9
890,0.00089,502561.3
900,0.0009,483587.1
910,0.00091,467794.7
920,0.00092,452981.2
930,0.00093,439160.5
940,0.00094,424847.1
